Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Allen Facundo,22,A,NYY,445.7,248,280.5,737,525,438
Erik Sabrowski,27,MLB,CLE,447,,605,,,289
Geoff Hartlieb,31,MLB,NYY,447.75,,370.5,,,525
Nick Dean,24,AA,CHC,448,572,721,568,122,257
Bryce Cunningham,22,A+,NYY,448.7,399,817.5,476,243,308
Franco Aleman,25,AAA,CLE,449,,324,,869,154
Sam Aldegheri,23,MLB,LAA,450,630,308,58,292,962
Brandan Bidois,24,AAA,PIT,451.1666666666667,,117.5,,529,707
Carson Jacobs,23,AA,CHW,451.3333333333333,,226,,449,679
Connor Wietgrefe,23,AA,PIT,453.4,299,834,145,175,814
Wilian Bormie,24,AA,TEX,455.6666666666667,,239,,366,762
Hunter Owen,23,AA,KCR,456.5,267,978.5,361,280,396
Rafe Schlesinger,22,A+,CLE,456.5,482,658.5,264,313,565
Ben Kudrna,22,AAA,KCR,457,148,1043,73,236,785
Alex Hoppe,26,AAA,SEA,458.25,,528.5,,,388
Luis Gutierrez,21,AAA,SDP,458.8,810,755,21,129,579
Garrett Horn,22,A+,MIN,459.75,,498,611,258,472
Sauryn Lao,25,MLB,WSN,463,324,356,461,698,476
Ryan Bourassa,25,AA,ATL,464.8333333333333,,61.5,,461,872
Kyle Carr,23,AA,NYY,465.8,526,778,74,227,724
Adrian Bohorquez,20,A+,MIN,467.5,401,592.5,237,242,865
Marco Raya,22,AAA,MIN,467.9,394,876.5,212,556,301
Kade Bragg,23,AA,MIA,468,,212,,538,654
Trent Turzenski,24,A+,BAL,468.625,,168.5,655,494,557
Colin Selby,27,MLB,BAL,468.6666666666667,,144,1116,,146
Manuel Medina,23,A+,BOS,469.8,744,324,501,269,511
Mavis Graves,21,A+,PHI,471.8,296,891,363,361,448
Landon Harper,24,AA,ATL,471.9,743,629.5,204,145,638
Dax Fulton,23,AAA,MIA,472.1,444,1192.5,222,275,227
Adam Bloebaum,24,A+,WSN,472.125,,19.5,606,462,801
Charlee Soto,19,A+,MIN,472.5,,855,,,90
Brady Feigl,34,MLB,PIT,473,,,,,473
Johan Simon,23,AA,DET,474.375,595,342.5,,433,527
Alex Pham,25,AAA,BAL,475.1,342,658.5,769,352,254
Jack Sellinger,25,AA,MIA,475.5,,131.5,,775,520
Caden Favors,23,A+,CLE,475.6,288,950,309,464,367
Robert Gasser,26,MLB,MIL,476.4,379,552,940,466,45
